City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Makat,KZ,2021-12-07 10:12:14,47.6469,53.3463,44.04,61,93,7.74
282,Fairbanks,US,2021-12-07 10:12:14,64.8378,-147.7164,17.94,83,90,0.0
283,Pisco,PE,2021-12-07 10:12:14,-13.7,-76.2167,64.45,88,0,3.44
284,Saskylakh,RU,2021-12-07 10:12:15,71.9167,114.0833,-9.74,97,100,6.42
285,Saint Paul,US,2021-12-07 10:12:15,44.9444,-93.0933,10.29,68,75,1.01
286,Dingle,PH,2021-12-07 10:12:15,10.9995,122.6711,75.61,90,100,7.14
287,Itoman,JP,2021-12-07 10:12:15,26.1247,127.6694,69.82,70,75,9.22
288,Adrar,MR,2021-12-07 10:08:35,20.5022,-10.0711,67.06,14,50,16.71
289,Half Moon Bay,US,2021-12-07 10:12:16,37.4636,-122.4286,53.94,94,75,1.01
290,Xiongzhou,CN,2021-12-07 10:12:16,25.1167,114.3,58.33,55,0,4.45
291,Victor Harbor,AU,2021-12-07 10:12:16,-35.5667,138.6167,60.89,63,54,5.01
292,Dubbo,AU,2021-12-07 10:12:16,-32.25,148.6167,66.33,82,75,10.36
